"Date","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","ZhviRecordCnt","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2014-03-31,"New York","NY","New York","Queens",0,516600,0.00603700097370983,0.0219584569732938,0.095187619249523,0.0174042292705037,,507533,"2014-03","2014-Q1",516600,0,"2014-03"
2014-03-31,"Los Angeles","CA","Los Angeles","Los Angeles",1,497400,0.00606796116504854,0.0224049331963001,0.162692847124825,0.030317944469207,0.0189414855287484,576087,"2006-08","2006-Q3",602100,-0.173891380169407,"2005-01"
2014-03-31,"Chicago","IL","Chicago","Cook",2,186600,0.00161030595813205,0.0230263157894737,0.135036496350365,-0.0315136481468137,-0.00882704972621795,539432,"2006-12","2006-Q4",245100,-0.238678090575275,"2003-04"
2014-03-31,"Houston","TX","Houston","Harris",3,135900,0.00443458980044346,0.0029520295202952,0.0692368214004721,0.0328858420885092,0.0241971615598211,473556,"2013-10","2013-Q4",138500,-0.0187725631768953,"2013-10"
2014-03-31,"Philadelphia","PA","Philadelphia","Philadelphia",4,106800,0.00187617260787992,0.00470366886171214,0.0229885057471264,-0.0190818143140637,0.0340648823809593,463521,"2007-09","2007-Q3",122700,-0.12958435207824,"2005-11"
2014-03-31,"Phoenix","AZ","Phoenix","Maricopa",5,160300,-0.00681536555142503,-0.0195718654434251,0.108575380359613,-0.00839330606848143,0.0107109111339381,397807,"2006-06","2006-Q2",246300,-0.349167681688997,"2004-11"
2014-03-31,"Las Vegas","NV","Las Vegas","Clark",6,165600,0.00485436893203883,0.018450184501845,0.227575982209044,-0.00950542140336308,-0.018697209855929,418558,"2006-07","2006-Q3",299700,-0.447447447447447,"2003-07"
2014-03-31,"San Antonio","TX","San Antonio","Bexar",7,127300,0.00871632329635499,0.0127287191726333,0.0358014646053702,0.00413565890734446,0.027981094638599,288709,"2012-02","2012-Q1",136900,-0.0701241782322863,"2011-08"
2014-03-31,"San Diego","CA","San Diego","San Diego",8,479600,0.000625912789484665,0.00756302521008403,0.122659176029963,0.043569778398949,0.00587788201987394,309768,"2005-10","2005-Q4",536100,-0.10539078530125,"2004-06"
2014-03-31,"Dallas","TX","Dallas-Fort Worth","Dallas",9,110200,0.00823421774931381,0.0337711069418387,0.137254901960784,0.00704294969331021,0.00436810686809253,265324,"2007-03","2007-Q1",121200,-0.0907590759075908,"2004-07"
2014-03-31,"San Jose","CA","San Jose","Santa Clara",10,671800,0.00433547615488115,0.0135787567893784,0.162082684656634,0.046983285569111,0.0266371304505351,209332,"2007-03","2007-Q1",694100,-0.0321279354559862,"2005-09"
2014-03-31,"Jacksonville","FL","Jacksonville","Duval",11,116300,0.00605536332179931,0.0292035398230088,0.158366533864542,-0.0406258415643233,-0.00686984863903861,260241,"2006-11","2006-Q4",179300,-0.351366424986057,"2003-08"
2014-03-31,"San Francisco","CA","San Francisco","San Francisco",12,909300,0.0101088646967341,0.0281546811397558,0.150866978863435,0.0506083488078866,0.0344748130497357,140220,"2014-03","2014-Q1",909300,0,"2014-03"
2014-03-31,"Columbus","OH","Columbus","Franklin",13,98300,0.00203873598369011,0.00306122448979592,0.0402116402116402,-0.0238323877399735,-0.0152252830375708,218500,"2006-04","2006-Q2",120800,-0.186258278145695,"2000-12"
2014-03-31,"Detroit","MI","Detroit","Wayne",14,41000,0.00244498777506112,0.0173697270471464,0.0432569974554707,-0.0736355571471969,-0.0599738827695334,322305,"1996-05","1996-Q2",93700,-0.562433297758805,
2014-03-31,"Charlotte","NC","Charlotte","Mecklenburg",15,146100,0.00343406593406593,0.0159944367176634,0.0750551876379691,-0.00905729219970497,0.00572006078900422,220315,"2007-11","2007-Q4",161200,-0.0936724565756824,"2006-01"
2014-03-31,"Memphis","TN","Memphis","Shelby",16,66400,-0.00150375939849624,0.00302114803625378,0.0246913580246914,-0.0291872513168789,-0.0187054855196904,189801,"2007-03","2007-Q1",89100,-0.254769921436588,"1998-07"
2014-03-31,"El Paso","TX","El Paso","El Paso",17,114500,0.000874125874125874,0.00881057268722467,0.045662100456621,-0.00600386463338598,0.0315834181196253,155903,"2007-09","2007-Q3",120800,-0.0521523178807947,"2006-11"
2014-03-31,"Baltimore","MD","Baltimore","Baltimore City",18,104100,0.00774443368828654,0.0225933202357564,0.0923399790136411,-0.0374660938444965,0.0349978241053486,211326,"2007-11","2007-Q4",130900,-0.204736440030558,"2005-12"
2014-03-31,"Boston","MA","Boston","Suffolk",19,419500,0.00358851674641148,0.0123069498069498,0.0836993025058125,0.0504409028452451,0.0188325093934234,84281,"2014-03","2014-Q1",419500,0,"2014-03"
2014-03-31,"Seattle","WA","Seattle","King",20,441500,0.00386539336061846,0.011454753722795,0.0799902152641879,0.0192771999022898,0.0324514411719634,177844,"2007-08","2007-Q3",466100,-0.0527783737395409,"2006-09"
2014-03-31,"Washington","DC","Washington","District of Columbia",21,454900,0.00463780918727915,0.0208707360861759,0.143827005280362,0.0490165093969746,0.0468453173071468,137931,"2014-03","2014-Q1",454900,0,"2014-03"
2014-03-31,"Denver","CO","Denver","Denver",22,256100,0.00313356835095966,0.0102564102564103,0.0805907172995781,0.0390102724637629,0.0191740618613443,185940,"2014-03","2014-Q1",256100,0,"2014-03"
2014-03-31,"Nashville","TN","Nashville","Davidson",23,154100,0.00195058517555267,0.00653167864141084,0.0679140679140679,0.00340902101524976,0.0180168634214093,165880,"2007-07","2007-Q3",156100,-0.0128122998078155,"2007-02"
2014-03-31,"Milwaukee","WI","Milwaukee","Milwaukee",24,91800,-0.00433839479392625,-0.0129032258064516,0.00547645125958379,-0.055449018913132,-0.0196921827158871,103578,"2006-05","2006-Q2",137400,-0.331877729257642,"2002-04"
2014-03-31,"Portland","OR","Portland","Multnomah",25,296300,0.00577053632043449,0.0196145905024088,0.122773777946192,0.0168131637511812,0.0406096704566952,178554,"2014-03","2014-Q1",296300,0,"2014-03"
