"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","ZhviRecordCnt","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI","BottomMonth","BottomQuarter","BottomZHVI","PctFallFromPeakToBottom"
2014-02-28,"Northeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",0,188900,0.00854244527495996,0.0255157437567861,0.0684389140271493,0.0199911172928751,0.0221735473020199,51800,"2014-02","2014-Q1",188900,0,"2014-02",,,,
2014-02-28,"Paradise","NV","Las Vegas","Clark","Las Vegas",1,156700,0.00448717948717949,0.022845953002611,0.262691377921031,-0.0230734151655699,-0.0167836260133636,56804,"2006-07","2006-Q3",293800,-0.466643975493533,"2003-03","2012-02","2012-Q1",101600,-0.654186521443159
2014-02-28,"Upper West Side","NY","New York","New York","New York",2,1321000,0.00303720577069096,0.00593968930855924,0.189875698072419,0.0549462493011257,,18759,"2014-02","2014-Q1",1321000,0,"2014-02",,,,
2014-02-28,"South Los Angeles","CA","Los Angeles","Los Angeles","Los Angeles",3,291700,0.00899342787962643,0.0253075571177504,0.187703583061889,0.014755426224669,0.0222414846674781,22190,"2007-04","2007-Q2",455500,-0.3596048298573,"2004-10","2011-10","2011-Q4",213900,-0.530406147091109
2014-02-28,"Sherman Oaks","CA","Los Angeles","Los Angeles","Los Angeles",4,475900,0.00591841048404143,0.0254255548373195,0.195428284350666,0.0308126009423806,0.019116890030443,33837,"2006-08","2006-Q3",591600,-0.195571331981068,"2005-01","2012-03","2012-Q1",350100,-0.408215010141988
2014-02-28,"Sunrise Manor","NV","Las Vegas","Clark","Las Vegas",5,115800,0.00959023539668701,0.0330062444246209,0.335640138408304,-0.0437135557776461,-0.0294838806895522,39949,"2006-09","2006-Q3",259400,-0.553585196607556,"2000-08","2012-02","2012-Q1",69000,-0.734001542020046
2014-02-28,"East New York","NY","New York","Kings","New York",6,319900,0.00819413803971005,0.0386363636363636,0.111535788742182,-0.0202198928788312,0.0308413364142293,5200,"2007-11","2007-Q4",389900,-0.179533213644524,"2005-11","2013-04","2013-Q2",286700,-0.264683252115927
2014-02-28,"Southeast Los Angeles","CA","Los Angeles","Los Angeles","Los Angeles",7,248100,0.0118270799347471,0.040251572327044,0.206125425376762,0.0102214664397204,0.0276364037503281,13682,"2007-02","2007-Q1",409700,-0.394434952404198,"2004-11","2010-03","2010-Q1",162700,-0.602880156211862
2014-02-28,"Spring Valley","NV","Las Vegas","Clark","Las Vegas",8,166600,0.00301023479831427,0.0158536585365854,0.220512820512821,-0.0134826428807537,-0.0174162549586308,59742,"2006-03","2006-Q1",305300,-0.454307238781526,"2003-06","2012-01","2012-Q1",112700,-0.630854896822797
2014-02-28,"Deer Valley","AZ","Phoenix","Maricopa","Phoenix",9,174900,-0.00455321570859419,-0.00114220445459737,0.100692259282568,-0.00147997005808553,0.015476447532353,49398,"2006-02","2006-Q1",258000,-0.322093023255814,"2005-01","2011-01","2011-Q1",116300,-0.54922480620155
2014-02-28,"Astoria","NY","New York","Queens","New York",10,605000,0.0038161606105857,0.0166358595194085,0.115618661257606,0.0318167631467843,0.0479908153962405,3520,"2014-02","2014-Q1",605000,0,"2014-02",,,,
2014-02-28,"Paradise Valley","AZ","Phoenix","Maricopa","Phoenix",11,262700,-0.006053726825577,-0.00905318747642399,0.0775225594749795,0.0105261554847464,0.0313124875085102,53585,"2006-02","2006-Q1",349800,-0.248999428244711,"2005-03","2011-08","2011-Q3",180800,-0.483133218982276
2014-02-28,"North Mountain","AZ","Phoenix","Maricopa","Phoenix",12,143200,-0.00831024930747922,-0.0110497237569061,0.149277688603531,-0.0104203502671528,0.0105760698639703,45752,"2006-07","2006-Q3",222200,-0.355535553555356,"2004-11","2011-07","2011-Q3",87300,-0.607110711071107
2014-02-28,"Washington Heights","NY","New York","New York","New York",13,505500,-0.000593119810201661,-0.000790670092903736,0.267870579382995,0.0134649614416089,0.0533512582524205,777,"2013-12","2013-Q4",508000,-0.00492125984251968,"2013-11","2014-02","2014-Q1",505500,-0.00492125984251968
2014-02-28,"Far North","TX","Dallas-Fort Worth","Dallas","Dallas",14,255900,0.00787711697518708,0.0219648562300319,0.0461978740801308,0.0198913477216964,0.0227752073209588,28591,"2014-02","2014-Q1",255900,0,"2014-02",,,,
2014-02-28,"Hollywood","CA","Los Angeles","Los Angeles","Los Angeles",15,565800,0.00837640349313848,0.042180880456806,0.180717863105175,0.0105785762815349,0.0305664459336561,5401,"2007-10","2007-Q4",640100,-0.11607561318544,"2005-06","2012-05","2012-Q2",438200,-0.315419465708483
2014-02-28,"Bedford Stuyvesant","NY","New York","Kings","New York",16,572600,0.000873973081629086,0.0276381909547739,0.272444444444444,0.0619329523925563,0.0684612831918949,3028,"2014-02","2014-Q1",572600,0,"2014-02",,,,
2014-02-28,"Camelback East","AZ","Phoenix","Maricopa","Phoenix",17,225300,-0.00705156456588806,-0.0208604954367666,0.0974184120798831,0.00772117126409899,0.0338531766257339,40297,"2006-06","2006-Q2",288000,-0.217708333333333,"2005-06","2011-08","2011-Q3",146900,-0.489930555555556
2014-02-28,"Flatbush","NY","New York","Kings","New York",18,728900,0.00732448866777225,0.0282127239384963,0.119662058371736,0.0192253009583121,0.0504424811054054,2455,"2007-11","2007-Q4",738900,-0.0135336310732169,"2007-08","2012-01","2012-Q1",594300,-0.195696305318717
2014-02-28,"East Side","TX","El Paso","El Paso","El Paso",19,117000,0.00688468158347677,0.012987012987013,0.0335689045936396,-0.00538208188007272,0.0300698151199419,36058,"2007-08","2007-Q3",132900,-0.119638826185102,"2006-08","2012-11","2012-Q4",112600,-0.152746425884123
2014-02-28,"Southeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",20,63300,0.00796178343949045,0.0259319286871961,0.17877094972067,-0.00343973131516562,-0.0185053939640896,29543,"2006-10","2006-Q4",82300,-0.23086269744836,"2000-11","2011-12","2011-Q4",49300,-0.40097205346294
2014-02-28,"Crown Heights","NY","New York","Kings","New York",21,655800,0.00106853915432758,0.029998429401602,0.232706766917293,0.0589441012500405,0.0740887542400448,2289,"2014-02","2014-Q1",655800,0,"2014-02",,,,
